"glossary_term","glossary_translation","source","target","file","location"
"Citadel of Adlen","Adlen vára","‘The Citadel of Adlen surely is the finest masterpiece of Barbarian craftsmanship. Nothing as strong and big and beautiful has ever been built in such a short time.’","„Adlen fellegvára minden bizonnyal a barbár építészet legfőbb mesterműve. Semmi hozzá foghatóan erős, hatalmas, ugyanakkor gyönyörű nem épült ilyen rövid idő alatt.”","tribes_encyclopedia","../../data/tribes/initialization/barbarians/units.lua:1739"
"Citadel of Adlen","Adlen vára","Colintan, chief planner of the Citadel of Adlen,<br>at its opening ceremony","Colintan, Adlen fellegvárának tervezője<br>az avatóünnepségen","tribes_encyclopedia","../../data/tribes/initialization/barbarians/units.lua:1741"
"Clay","Agyag","Out of Clay Ponds","Nincsenek gödrök","tribes","../../data/tribes/buildings/productionsites/frisians/charcoal_burners_house/init.lua:98"
"Al’thunran","Al’thunran","When Chat’Karuth died, he was an old man, father to three strong and ambitious sons, and warlord to an army that could match any enemy willing to rise against the ancient forests. Though at the end of his glorious reign, Chat’Karuth chose his eldest son, Thron, to succeed him as the tribe’s warlord – a decision that left his two brothers unsatisfied. The old warlord knew that. As his father instructed him, Thron left the capital of Al’thunran, the home of the Throne Among the Trees, and withdrew his forces to the high hills where he buried the corpse of his father. There he swore to the gods and his father’s spirit that he’d return to re-established order. While his brothers have raged blind war against Thron and the few forces he left to secure the borders of Al’thunran, the young warlord seeks to reunite his ambitious brothers and force the tribes to march once again under a common banner.","Amikor Chat'Karuth meghalt, nagyon öreg, három erős és törekvő fiú apja és egy erős hadúr volt, olyan hadsereggel, amely bármelyik ellenséget képes legyőzni, amely szembe mer szállni az ősi erdővel. Dicső uralkodása után, Chat'Karuth a legidősebb fiára hagyta a trónt – ezzel magára haragítva másik két fiát. Az öreg hadúr tudta ezt. Ahogy az apja meghagyta neki, Thron elhagyta Al'thunran fővárosát, a korona otthonát a fák között, és visszavonta erőit a magas hegyekbe, ahol eltemette apját és megesküdött az Isteneknek, hogy egy nap visszatér és helyreállítja a rendet. Amíg testvérei vak háborút indítottak Thron és katonái ellen, akiket hátrahagyott, hogy megvédjék Al'thunran határát, a fiatal hadúr igyekezett maga mellé állítani nagyravágyó testvéreit, hogy a törzseket újra egy zászló alatt egyesíthesse.","maps","../../data/campaigns/campaigns.lua:52"
"Al’thunran","Al’thunran","We can see the raging flames that swallow Al’thunran from here, miles away.","Innen, mérföldek távolából is látni a bősz lángokat, melyek elemésztik Al'thunrant.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:156"
"Al’thunran","Al’thunran","When I gazed at the horizon, I still saw crimson lights flicker in the distance. It is incredible with how much passion my brethren fight this war. I fear the moment I will see Al’thunran again – will there be anything but ashes and wasted ruins left of our once beautiful capital when we get there?","Amint a távolba tekintettem, még mindig karmazsin színben táncoló lángokat láttam. Hihetetlen, hogy fivéreim mily nagy hévvel vívják ezt a harcot. Félek a pillanattól, mikor viszontlátom Al'thunrant – egykor gyönyörű fővárosunkból nem marad más, csak romok és hamvak, mire odaérünk?","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:508"
"Al’thunran","Al’thunran","The news that a patrol brought is not good to hear. Our spies tell us that the war tribes still rage in battle, but some of the elder soldiers and tribe leaders seem to grow tired of this senseless war. Kalitath, son of Kun is the first war leader to leave Al’thunran, thus leaving his side weak and vulnerable. As my scouts report, he has set foot on the lower grounds around the capital, securing the outer fortification rings.","Nem jók a hírek, amiket egy járőr hozott. Kémeink azt jelentik, hogy a törzsek még mindig dühödt harcot vívnak, de úgy tűnik, néhány idősebb katona és vezető kezd belefáradni ebbe az értelmetlen háborúba. Kalitath, Kun fia az első hadvezér, aki elhagyta Al'thunrant, meggyengítve és kiszolgáltatva ezzel sajátjait. Amint azt felderítőim jelentik, ő a főváros körüli mélyebben fekvő területeket foglalta el, és az erődítmények külső gyűrűit biztosítja.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:170"
"Al’thunran","Al’thunran","Thron seeks to believe that Kalitath is tired of fighting and would be willing to join us once we march to re-establish law and order in Al’thunran. But I don’t think so. Kalitath is son to one of the mightiest generals of our forces and his family never quite liked the thought of bowing before the banner of Chat’Karuth. Why should he march with Chat’Karuth’s son to reclaim his heritage and the throne?","Thron arra a meggyőződésre hajlik, hogy Kalitath belefáradt a harcba, és hajlandó lesz csatlakozni hozzánk, ha majd bevonulunk Al'thunranba helyreállítani a törvényt és a rendet. De szerintem ez nem így lesz. Kalitath apja seregünk egyik legerősebb tábornoka, akinek családja sose volt oda a gondolatért, hogy meghajoljon Chat'Karuth zászlaja előtt. Miért segítené hát Chat'Karuth fiát visszaszerezni az örökségét és a trónt?","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:178"
"Al’thunran","Al’thunran","The frontier line of my forces has expanded to the edge of the forests. We have a long and cold winter and so many miles behind us. The fortification that we erected around Ondun will guarantee us a fast supply of men and goods, and once Al’thunran is in my hands, the two cities will be linked by a good and defensible infrastructure. Still, I hope I will not walk alone on this mission, I hope Kalitath son of Kun will follow my call.","Erőink arcvonala kitolódott az erdő szélére. Magunk mögött hagytunk egy hosszú és hideg telet és oly sok mérföldet. Az Ondun köré emelt erősségek biztosítják embereink és áruink gyors utánpótlását, és ha egyszer Al'thunran a kezemben lesz, a két várost egy jó és védhető infrastruktúra köti majd össze. Továbbra is bízom abban, hogy nem egyedül viszem véghez küldetésemet: remélem, Kun fia, Kalitath hajlik hívó szavamra.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:194"
"Al’thunran","Al’thunran","The first fortification Thron ordered has just been completed. At the moment, he seeks to bring trust and belief to those who live inside the walls of our new habitat that we named ‘Ondun’, which means ‘those who wait’ in the old tongue. But Thron is not yet satisfied – and I fully understand his fears: the forests are deep, and the frontier to Al’thunran is near. I am sure that there are a thousand greater dangers out there than the unknown tracks.","Az első erődítmény, amit Thron rendelt elkészült. Pillanatnyilag szeretné elnyerni azok bizalmát és hitét, akik kint élnek az új lakóhelyünk falain kívül, amit mi „Ondunnak” neveztük el, amely a régi nyelven azt jelenti, hogy „azok, akik várnak”. De Thron még nem elégedett – és teljesen megértem félelmeit: az erdő mély, az Al'thunrani határ közel van. Biztos vagyok benne, hogy ezer nagyobb veszély leselkedik ott kint, mint a járatlan utak.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:269"
"Al’thunran","Al’thunran","I have just spoken to the leader of our patrol. He told me that they found some mountains to the north-east and east of our territory. With a bit of luck this will open up a new chance for rearming our men, because as far as I remember, most of the mountains west of Al’thunran hold coal and some metal ores.","Épp most beszéltem az őrjáratunk vezetőjével. Azt mondta, hogy néhány hegyet találtak északkeletre és keletre a területünktől. Egy kis szerencsével ez új esélyt fog adni, hogy felfegyverezzük az embereinket, mert ha jól emlékszem, akkor az Al'thunrantól nyugatra fekvő hegyek szenet és némi fémércet rejtenek.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:281"
"Al’thunran","Al’thunran","So be it, the generals are out and about arranging my troops, and Boldreth himself will lead the first strike. I will ride by his side, to free Al’thunran of this war and return peace to our capital.","Hát legyen, tábornokaim most állítják össze csapataimat, és maga Boldreth vezeti az első támadást. Vele tartok, hogy megszabadítsuk Al'thunrant ettől a háborútól és visszahozzuk a békét fővárosunkba.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:341"
"Al’thunran","Al’thunran","Furthermore, I think that Al’thunran must be destroyed!","Továbbá pedig úgy vélem, Al'thunrant le kell rombolni!","tribes_encyclopedia","../../data/tribes/initialization/empire/units.lua:2196"
"Amalea","Amalea","Sire, Amalea is right about the resources. Therefore I correct myself. We should only build an outpost as this is the most effective military building.","Uram! Amaleának igaza van a nyersanyagokkal kapcsolatban. Ezért hát helyesbítek. Csak egy előőrsöt építsünk, mert ez a leghatékonyabb katonai épület.","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:249"
"Amalea","Amalea","Oh no! Amalea is right. In fact, I can’t see any productivity at all. And the road network seems to be completely in shambles as well. Who might be responsible for this chaos?","Jaj ne! Amaleának igaza van. Sőt, egyáltalán nem látható termelés sehol. Az úthálózat is teljesen kesze-kusza. Ki lehet a felelős ezért a káoszért?","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:248"
