"glossary_term","glossary_translation","source","target","file","location"
"General Statistics","Allmän statistik","You can see the number of wares traded at any time in the general statistics menu. Good luck!","Du kan se antalet handlade varor när som helst i den generella statistikmenyn. Lycka till!","mp_scenario_smugglers.wmf","../../data/maps/MP_Scenarios/Smugglers.wmf/scripting/texts.lua:17"
"Options","Alternativ","I hope I could teach you how you can control the economy in Widelands. There are many options and they can be confusing at first. Even if you’ve only understood a few concepts, you mustn’t give up. Try them out in some games, become familiar with them and experience the possibilities. Then, return to this tutorial and learn the rest!","Jag hoppas att jag lyckades lära dig hur du kan kontrollera ekonomin i Widelands. Det finns många inställningsmöjligheter och de kan kännas förvirrande i början. Även om du bara förstod en del får du inte ge upp. Prova dig fram i några spel, lär känna dem och utforska möjligheterna. Återkom sedan till denna handledning och lär dig resten!","scenario_tutorial04_economy.wmf","../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:471"
"Al’thunran","Al’thunran","We can see the raging flames that swallow Al’thunran from here, miles away.","Vi kan se de rasande lågor som slukar A'thunran ända härifrån, flera kilometer bort.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:171"
"Al’thunran","Al’thunran","When I gazed at the horizon, I still saw crimson lights flicker in the distance. It is incredible with how much passion my brethren fight this war. I fear the moment I will see Al’thunran again – will there be anything but ashes and wasted ruins left of our once beautiful capital when we get there?","När jag såg mot horisonten såg jag ett rött sken i fjärran. Det är otroligt hur mycket passion mina bröder lägger ner i sitt krig. Jag bävar för stunden då jag får återse Al'thunran – finns det då kvar något mer än aska och sönderfallande ruiner av vår vackra huvudstad?","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:525"
"Al’thunran","Al’thunran","The news that a patrol brought is not good to hear. Our spies tell us that the war tribes still rage in battle, but some of the elder soldiers and tribe leaders seem to grow tired of this senseless war. Kalitath, son of Kun is the first war leader to leave Al’thunran, thus leaving his side weak and vulnerable. As my scouts report, he has set foot on the lower grounds around the capital, securing the outer fortification rings.","Nyheterna som en patrull förde med sig var inte roliga att höra. Våra spioner säger att krigarstammarna fortfarande strider för fullt, men några av de äldre soldaterna och stamledarna verkar börja tröttna på det meningslösa kriget. Kalitath, Kuns son, är den första krigarledaren att lämna Al'thunran, vilket gör hans sida svag och sårbar. Enligt mina spejare har han tagit sig till de lägre markerna runt huvudstaden och säkrat de yttre ringmurarna.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:172"
"Al’thunran","Al’thunran","Thron seeks to believe that Kalitath is tired of fighting and would be willing to join us once we march to re-establish law and order in Al’thunran. But I don’t think so. Kalitath is son to one of the mightiest generals of our forces and his family never quite liked the thought of bowing before the banner of Chat’Karuth. Why should he march with Chat’Karuth’s son to reclaim his heritage and the throne?","Thron vill gärna tro att Kalitath har tröttnat på striderna och kommer vilja ansluta till oss när vi väl marscherar för att återställa lag och ordning till Al'thunran. Men det tror jag knappast. Kalitath är son till en av de mäktigaste generalerna i våra trupper och hans familj gillade aldrig riktigt tanken på att buga inför Chat'Karuths baner. Varför skulle han marschera tillsammans med Chat'Karuths son för att återta hans arvsrätt och tronen?","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:180"
"Al’thunran","Al’thunran","The frontier line of my forces has expanded to the edge of the forests. We have a long and cold winter and so many miles behind us. The fortification that we erected around Ondun will guarantee us a fast supply of men and goods, and once Al’thunran is in my hands, the two cities will be linked by a good and defensible infrastructure. Still, I hope I will not walk alone on this mission, I hope Kalitath son of Kun will follow my call.","Mina gränser har flyttats fram till skogskanten. Vi har en lång och hård vinter och så många mil bakom oss. Befästningen som vi reste runt Ondun kommer att garantera oss snabb tillgång till män och varor, och när Al'thunran väl är i mina händer kommer de två städerna att länkas samman med en god infrastruktur som lätt kan försvaras. Ändå hoppas jag att jag inte vandrar ensam i detta uppdrag, jag hoppas att Kalitath, Kuns son, hörsammar min uppmaning.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:196"
"Al’thunran","Al’thunran","So be it, the generals are out and about arranging my troops, and Boldreth himself will lead the first strike. I will ride by his side, to free Al’thunran of this war and return peace to our capital.","Så får det bli. Generalerna har gått ut för att ställa upp trupperna och Bolreth kommer själv att leda det första anfallet. Jag ska rida vid hans sida för att göra Al'thunran fritt från detta krig och återupprätta freden i vår huvudstad.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:342"
"Work Area","Arbetsområde","Keep an eye on your fishers and build a fish breeder’s house. After fish resources are exhausted in their work area, the fish supply cannot be regenerated.","Håll ett öga på dina fiskare och bygg en fiskodling. När fisken har tagit slut i vattnet kan inte fiskodlaren återställa fisktillgången.","texts","../../data/txts/tips/atlanteans.lua:4"
"Work Area","Arbetsområde","Keep an eye on your fishers. After fish resources are exhausted in their work area, they will stop fishing.","Håll ett öga på dina fiskare. När fisken tar slut i deras område slutar de att fiska.","texts","../../data/txts/tips/barbarians.lua:4 ../../data/txts/tips/empire.lua:4"
