"glossary_term","glossary_translation","source","target","file","location"
"Ajanthul","Ajanthul","On the hidden and lost island of Atlantis, a proud tribe settled since the world was very young. Ruled by the bloodline of King Ajanthul – the first human to be empowered by the sea god Lutas to breathe above sea level – and the wise clerics, who provided the link to Lutas – they prospered and became civilized.","På den skjulte og forbandede ø Atlantis har en stolt stamme befundet sig siden verden var meget ung. Regeret af kong Ajuanthuls blodlinje - det første menneske som fik beføjelse af havguden Lutas til at trække vejret over havets overflade - og de vise præster, som skabte forbindelsen til Lutas. De trivedes og blev civiliserede.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:146"
"Attack","Angreb","Sire, I fear we are not safe in this foreign land. Who knows what terrible creatures live beyond this forest, in that mighty desert? What if these creatures enter the woods and await the time to attack us?","Jeg frygter at vi ikke er sikre i dette fremmede land. Hvem ved hvilke frygtelige skabninger, der lever efter denne skov, i den stor ørken? Hvad hvis disse skabninger kommer til skoven og venter på et godt tidspunkt at angribe os på?","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:126"
"Attack","Angreb","There are still a few Barbarians hiding on our island, but I am sure that we will find them soon. Every Barbarian who doesn’t attack us will be put in a boat with the other peaceful ones, and sent back to their country.","Der er stadig nogle få barbarer skjult på vores ø, men jeg er sikker på, at vi snart vil finde dem. Hver barbar som ikke angriber os vil blive sat i en båd med de andre fredelige og sendt tilbage til deres land.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:267"
"Attack","Angreb","I am really afraid, because we are completely unprepared should the Barbarians decide to attack us.","Jeg er virkelig bange, da vi er fuldstændig uforberedt såfremt barbarerne beslutter sig for at angribe os.","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:267"
"Attack","Angreb","I’d like to say we should attack him right now, but I fear we aren’t strong enough yet to hold our own against him in battle. We should hurry our soldier training while pretending to be gathering his so-called gift. That would buy us some time.","Jeg synes, at vi skal angribe ham lige nu, men jeg frygter, at vi ikke er stærke nok til at klare  ham i kamp. Vi bør fremskynde vores soldatertræning, mens vi lader som om, at vi indsamler hans såkaldte gave. Det bør give os lidt tid.","scenario_fri02.wmf","../../data/campaigns/fri02.wmf/scripting/texts.lua:320"
"Attack","Angreb","When you are expanding into no man’s land, you can make your buildings prefer rookies. When you are planning to attack, send heroes into that region. Conquered buildings always prefer heroes.","Når du udvider i ingen mands land, så kan du lade dine bygninger foretrække nybegyndere. Når du planlægger at angribe, så send dine helte ind i det område. Erobrede bygninger foretrækker altid helte.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:191"
"Attack","Angreb","To attack a building, click on its doors, choose the number of soldiers that you wish to send and click on the ‘Attack’ button.","For at angribe en bygning, klik på dens døre, vælg antallet af soldater, du ønsker at sende og klik på knappen »Angrib«.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:263 ../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:274"
"Arena","Arena","Therefore, we need to build a full training infrastructure despite the limited space available. We need some barracks, a training camp and an arena or a colosseum.","Vi skal derfor bygge en fuld træningsinfrastruktur på trods af den begrænsede tilgængelige plads. Vi skal bruge nogle barakker, en træningslejr og en arene eller et amfiteater.","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:613"
"Atlantean","Atlanter","We found an old building, destroyed and burned by flames. I am very worried about this discovery. The building is not of any kind I’ve ever seen. It is certainly not designed by any Atlantean architect I’ve ever heard about. The building is crude, the assemblage is sloppy. But the materials are very enduring: the wood used for it seemed to have been burned in a strange way before it was used as building material – it is hard as stone.","Vi fandt en gammel bygning, ødelagt og nedbrændt. Jeg er meget bekymret over dette fund. Bygningen ligner ikke noget vi har set før. Den er bestemt ikke designet af en arkitekt fra Atlantis, som jeg har hørt om. Bygningen er rå, samlingen sjusket. Men materialerne er holdbare: Træet ser ud til at være brændt på en mærkelig måde før det blev brugt som byggemateriale - det er hårdt som sten.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:400"
"Atlanteans","Atlantere","Like all other tribes, the Atlanteans are also able to train soldiers: the dungeon trains attack – the major attribute of the Atlanteans – and the labyrinth trains evasion, health and defense. The items produced by the industry are used to train better soldiers in the two training sites.","Som alle andre stammer er atlanterne også i stand til at træne soldater; fangekælderen træner angreb - den vigtigste egenskab for atlanterne - og labyrinten træner undvigelse, helbred og forsvar. Produkterne fra industrien bruges til at træne bedre soldater i de to træningsanlæg.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:109"
"Atlanteans","Atlantere","The clerics retreated into meditation and the reason for the rising water was soon to be found: the god Lutas had lost faith in the Atlanteans because of the boldness of their king. He decided to withdraw the rights that were granted to King Ajanthul and his children. And so, he called them back below the sea again.","Præsterne trak sig tilbage og mediterede og årsagen til det stigende vand blev hurtigt fundet: Guden Lutas havde mistet håbet for atlanterne på grund af deres konge. Han besluttede at trække de rettigheder tilbage som var tildelt kong Ajanthul og hans børn. Og således kaldte han dem tilbage under havets overflade igen.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:158"
"Atlanteans","Atlantere","The Atlanteans produce granite blocks in quarries and crystal mines.","Atlanterne hugger granitblokke i stenbrud og krystalminer.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:419"
"Atlanteans","Atlantere","Fish is one of the biggest food resources of the Atlanteans. It has to be smoked in a smokery before being delivered to mines, training sites and scouts.","Fisk er en af de vigtigste madressourser for atlanterne. Den skal røges i et røgeri før den leveres til miner, træningsanlæg og spejdere.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:476"
